-50.00000	-50.00000	-46.20000	0.00000	0.00000	-90.00000	-0.116285525+0.000441349i	+0.063747863+0.000494022i	+0.016487690-0.000210612i	+0.127311993-0.001625179i	+0.016595197+0.000419580i	-0.037367376-0.000252338i	-0.049830744+0.000821265i	-0.005026785+0.000302072i	-0.034714700-0.000208729i	-0.005578470+0.000047708i	+0.003111486-0.000041936i	+0.000837498-0.000059451i	+0.006084896-0.000004639i	+0.000767892+0.000087895i	-0.001876000+0.000079633i	-0.002365285-0.000036616i	-0.000226853-0.000043754i	-0.001712013-0.000053293i
-25.00000	-50.00000	-46.20000	0.00000	0.00000	-90.00000	-0.071240669+0.000471962i	+0.061798010+0.000477128i	+0.010896378-0.000297814i	+0.173411935-0.001958324i	-0.002097300+0.000514654i	-0.043185398-0.000276103i	-0.068677494+0.001408463i	-0.001613566+0.000140502i	-0.037020013-0.000307470i	-0.003429102+0.000047105i	+0.003004995-0.000013906i	+0.000552210-0.000030640i	+0.008293111-0.000016866i	-0.000150995+0.000108642i	-0.002172324+0.000104567i	-0.003268280-0.000037389i	-0.000053980-0.000055344i	-0.001822006-0.000067044i
0.00000	-50.00000	-46.20000	0.00000	0.00000	-90.00000	+0.003465428+0.000429956i	+0.051064707+0.000428955i	+0.003565466-0.000350303i	+0.204014423-0.002052679i	-0.020027340+0.000548703i	-0.046954011-0.000312501i	-0.082400863+0.001954098i	+0.001785020-0.000045542i	-0.038174957-0.000394539i	+0.000138193+0.000042390i	+0.002464627+0.000029621i	+0.000174355+0.000016583i	+0.009760750-0.000028618i	-0.001027898+0.000118994i	-0.002363538+0.000119960i	-0.003926933-0.000037055i	+0.000116726-0.000063378i	-0.001875987-0.000076644i
50.00000	-50.00000	-46.20000	0.00000	0.00000	-90.00000	+0.118608286+0.000197960i	+0.019804200+0.000240331i	-0.010924695-0.000460687i	+0.171965194-0.001421513i	-0.041119391+0.000405938i	-0.045785999-0.000454081i	-0.071192872+0.002024044i	+0.005932908-0.000299204i	-0.036473481-0.000441186i	+0.005645273+0.000022093i	+0.000920278+0.000088325i	-0.000564545+0.000083767i	+0.008239168-0.000045644i	-0.002039062+0.000086074i	-0.002295864+0.000091155i	-0.003395293-0.000030879i	+0.000316686-0.000053557i	-0.001793270-0.000066743i
-50.00000	0.00000	-46.20000	0.00000	0.00000	-90.00000	-0.040269776+0.000250121i	+0.031725596+0.000287450i	+0.006597040-0.000129877i	+0.070741162-0.000804687i	+0.007146425+0.000228738i	-0.018416458-0.000147162i	-0.017757996+0.000370008i	-0.001861706+0.000147166i	-0.021898057-0.000096706i	-0.001937462+0.000025924i	+0.001541209-0.000009321i	+0.000333210-0.000018210i	+0.003381469-0.000003916i	+0.000325536+0.000049048i	-0.000925567+0.000045128i	-0.000839571-0.000021666i	-0.000083022-0.000017036i	-0.001082422-0.000023383i
0.00000	0.00000	-46.20000	0.00000	0.00000	-90.00000	+0.001116431+0.000248031i	+0.027741228+0.000253312i	+0.001799298-0.000189741i	+0.092742834-0.000900117i	-0.008412841+0.000269050i	-0.021750102-0.000185830i	-0.023745852+0.000662237i	+0.000286409+0.000025620i	-0.023614117-0.000150501i	+0.000038412+0.000024143i	+0.001337399+0.000015443i	+0.000087582+0.000008020i	+0.004438322-0.000014685i	-0.000434037+0.000054965i	-0.001093875+0.000054935i	-0.001127041-0.000021599i	+0.000024657-0.000020525i	-0.001166260-0.000027897i
50.00000	0.00000	-46.20000	0.00000	0.00000	-90.00000	+0.041521223+0.000165025i	+0.015826608+0.000162368i	-0.003535752-0.000236763i	+0.083864971-0.000708535i	-0.019371373+0.000222461i	-0.021536035-0.000235425i	-0.022101408+0.000730720i	+0.001904091-0.000088715i	-0.022893907-0.000174035i	+0.001971066+0.000016148i	+0.000749519+0.000035507i	-0.000183912+0.000030908i	+0.004018850-0.000023092i	-0.000961812+0.000043323i	-0.001080190+0.000045726i	-0.001050097-0.000019644i	+0.000103293-0.000018687i	-0.001130703-0.000025710i
-50.00000	50.00000	-46.20000	0.00000	0.00000	-90.00000	-0.016854659+0.000149634i	+0.017961447+0.000183786i	+0.003046621-0.000082719i	+0.041166843-0.000447067i	+0.003558292+0.000137238i	-0.009831410-0.000089461i	-0.007531909+0.000189041i	-0.000868930+0.000082126i	-0.014074014-0.000052846i	-0.000813659+0.000015620i	+0.000868640-0.000001419i	+0.000153122-0.000006838i	+0.001968500-0.000003264i	+0.000159971+0.000028788i	-0.000494655+0.000026986i	-0.000354453-0.000014308i	-0.000037999-0.000007844i	-0.000695736-0.000011902i
0.00000	50.00000	-46.20000	0.00000	0.00000	-90.00000	+0.000497622+0.000147257i	+0.016429475+0.000164414i	+0.001017215-0.000108810i	+0.048978098-0.000473525i	-0.004071033+0.000152604i	-0.011169737-0.000110132i	-0.009119832+0.000292099i	-0.000036686+0.000029228i	-0.014902015-0.000073031i	+0.000014549+0.000015135i	+0.000790486+0.000008805i	+0.000049303+0.000004087i	+0.002344424-0.000008673i	-0.000211485+0.000029896i	-0.000561877+0.000030015i	-0.000430830-0.000014346i	+0.000003088-0.000008688i	-0.000736609-0.000013225i
50.00000	50.00000	-46.20000	0.00000	0.00000	-90.00000	+0.017548855+0.000112498i	+0.011300413+0.000118503i	-0.001229220-0.000129106i	+0.045805223-0.000399012i	-0.010056670+0.000134338i	-0.011168849-0.000131439i	-0.008778915+0.000328603i	+0.000666556-0.000026643i	-0.014574947-0.000084088i	+0.000830303+0.000011609i	+0.000537591+0.000017447i	-0.000064865+0.000013865i	+0.002195817-0.000013075i	-0.000500239+0.000024453i	-0.000560400+0.000025839i	-0.000415074-0.000013452i	+0.000037767-0.000008236i	-0.000720471-0.000012526i
