0,0,0,0,0,0,0.17192+5.86e-07i,-0.021182+0.00010961i,0.00037034-1.829e-06i,0.01956+8.5573e-05i,0.095855+1.67e-07i,0.0071709+7.128e-05i,0.00023355-1.664e-06i,-0.005275+3.2846e-05i,0.11103-1.41e-07i,0.0046718-1.1e-08i,-0.00063491+9.29e-07i,1.195e-05-1.4e-08i,0.00052914+4.57e-07i,0.0028497+1.03e-07i,0.00023034+2.46e-07i,6.184e-06-2.54e-07i,-0.0001579+2.06e-07i,0.0035976+6e-09i
-50,-50,-46.2,0,0,0,0.27545+5.1881e-05i,0.087659-0.00049237i,-0.12078-0.00055658i,-0.067189-0.00024031i,0.15962-3.9443e-05i,0.033393+0.00033466i,0.10276-0.00015817i,0.010955-0.00013298i,0.16993-1.2232e-05i,0.0074829+6.35e-07i,0.0026177-2.365e-06i,-0.0039161+2.515e-06i,-0.0018234-6.52e-07i,0.0047504-1.272e-06i,0.0010777-1.3e-07i,0.0027897+5.39e-07i,0.00032699-3.31e-07i,0.0055089-1.066e-06i
-25,-50,-46.2,0,0,0,0.29644+6.4415e-05i,0.026581-0.00016831i,-0.13247-0.00061094i,-0.013695-4.3362e-05i,0.18033-7.251e-05i,0.018067+0.00018036i,0.1087-0.00016687i,-0.0038592-5.701e-06i,0.175-1.2328e-05i,0.0080526+8.85e-07i,0.00079249-6.11e-07i,-0.0042954+2.734e-06i,-0.00037271-2.2e-08i,0.0053684-1.855e-06i,0.00058262+1.12e-07i,0.0029511+6.14e-07i,-0.00011598+1.34e-07i,0.0056737-1.207e-06i
0,-50,-46.2,0,0,0,0.2909+6.2133e-05i,-0.040116+0.00018796i,-0.13409-0.00061644i,0.043355+0.00016849i,0.17619-7.8836e-05i,3.9041e-05-2.18e-06i,0.10675-0.00016498i,-0.019412+0.00013041i,0.17293-1.1805e-05i,0.0079017+8.37e-07i,-0.0012006+1.268e-06i,-0.0043478+2.728e-06i,0.0011745+6.58e-07i,0.0052453-1.813e-06i,1.92e-07+3.58e-07i,0.002898+5.61e-07i,-0.00058098+6.55e-07i,0.0056067-1.195e-06i
50,-50,-46.2,0,0,0,0.21421+2.791e-05i,-0.13445+0.00071317i,-0.10934-0.00049816i,0.12292+0.00046135i,0.1073-2.0626e-05i,-0.028725-0.00028689i,0.083254-0.00013247i,-0.039913+0.00031804i,0.15025-6.752e-06i,0.0058197+3.17e-07i,-0.0040195+4.034e-06i,-0.0035453+2.139e-06i,0.0033323+1.656e-06i,0.0031913-2.88e-07i,-0.00092913+7.99e-07i,0.0022601+3.96e-07i,-0.0011938+1.345e-06i,0.0048707-7.34e-07i
-50,0,-46.2,0,0,0,0.15087-8.439e-06i,0.037043-0.00020167i,-0.051731-0.00023199i,-0.028711-9.0123e-05i,0.086144+2.6213e-05i,0.013803+0.00013909i,0.044834-7.259e-05i,0.0019302-3.6695e-05i,0.093767+1.0347e-05i,0.0041006-3.02e-07i,0.0011049-8.22e-07i,-0.0016774+1.07e-06i,-0.00078002-1.26e-07i,0.0025594+4.59e-07i,0.00044484+1.39e-07i,0.0012172+6.2e-08i,5.7375e-05-6.3e-08i,0.0030373+5.77e-07i
0,0,-46.2,0,0,0,0.15626-4.539e-06i,-0.016974+9.2658e-05i,-0.056439-0.0002521i,0.018662+8.1687e-05i,0.091598+6.947e-06i,0.0023983+2.5376e-05i,0.045859-7.4715e-05i,-0.0083411+5.4143e-05i,0.094962+8.986e-06i,0.0042467-1.29e-07i,-0.00050918+7.45e-07i,-0.0018301+1.099e-06i,0.00050477+4.48e-07i,0.0027226+2.06e-07i,7.646e-05+3.05e-07i,0.001245+4.7e-08i,-0.00024981+3.26e-07i,0.0030763+4.91e-07i
50,0,-46.2,0,0,0,0.12786-1.2755e-05i,-0.061398+0.00034209i,-0.050213-0.00022378i,0.056897+0.0002205i,0.066943+2.3089e-05i,-0.0085675-8.2958e-05i,0.038818-6.4373e-05i,-0.016111+0.00012605i,0.086261+1.1696e-05i,0.0034755-3.17e-07i,-0.0018366+2.077e-06i,-0.0016282+9.86e-07i,0.0015418+9.21e-07i,0.0019879+6.87e-07i,-0.00027778+4.43e-07i,0.0010538+4.1e-08i,-0.00048219+5.86e-07i,0.0027941+6.13e-07i
-50,50,-46.2,0,0,0,0.090352-3.0203e-05i,0.018073-8.4226e-05i,-0.025592-0.00011404i,-0.014059-3.2039e-05i,0.051244+5.8482e-05i,0.0068814+7.164e-05i,0.022441-3.7813e-05i,-0.00010514-1.0999e-05i,0.056419+2.5312e-05i,0.0024577-7.31e-07i,0.00053781-1.34e-07i,-0.00082993+4.41e-07i,-0.00038288+1.46e-07i,0.0015187+1.244e-06i,0.00022128+2.12e-07i,0.00060929-1.63e-07i,-3.38e-06-1e-08i,0.0018252+1.362e-06i
0,50,-46.2,0,0,0,0.092576-2.7093e-05i,-0.0083551+6.0263e-05i,-0.027643-0.00012275i,0.0093229+5.1431e-05i,0.053399+4.6687e-05i,0.0021587+2.4444e-05i,0.022755-3.8367e-05i,-0.0042938+2.7121e-05i,0.056944+2.3941e-05i,0.0025178-6.28e-07i,-0.00025184+5.98e-07i,-0.0008964+4.67e-07i,0.00025131+4.01e-07i,0.0015836+1.091e-06i,6.8786e-05+2.58e-07i,0.00061777-1.33e-07i,-0.00012874+1.85e-07i,0.0018425+1.318e-06i
