0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.171292205-0.000000666i	-0.003374227+0.000002301i	+0.004320414+0.000011486i	+0.005396569+0.000028247i	+0.096130825+0.000002659i	+0.007320999+0.000071581i	-0.000727505+0.000000349i	-0.005299113+0.000030176i	+0.109786128+0.000000802i	+0.004649508-0.000000024i	-0.000102562+0.000000363i	+0.000140202-0.000000206i	+0.000144737+0.000000375i	+0.002852521-0.000000026i	+0.000235160+0.000000197i	-0.000019626-0.000000329i	-0.000158148+0.000000127i	+0.003552982+0.000000042i
-70.00000	-70.00000	-46.20000	0.00000	0.00000	0.00000	+0.266275820+0.000053264i	+0.195929150-0.001051207i	-0.126025500-0.000594783i	-0.159840758-0.000586392i	+0.123635321+0.000030159i	+0.061767555+0.000615887i	+0.114692833-0.000175669i	+0.041147016-0.000400839i	+0.194607424-0.000016295i	+0.007225400+0.000000588i	+0.005841780-0.000006388i	-0.004080739+0.000002539i	-0.004331308-0.000001787i	+0.003669946-0.000000563i	+0.001992177-0.000000606i	+0.003110628+0.000000564i	+0.001227452-0.000001564i	+0.006302248-0.000001618i
-70.00000	-70.00000	-37.50000	0.00000	0.00000	0.00000	+0.282011748+0.000061241i	+0.203922129-0.001097356i	-0.102978058-0.000491745i	-0.167578066-0.000615580i	+0.126115296+0.000030673i	+0.053983000+0.000538482i	+0.097166168-0.000147116i	+0.032677330-0.000325642i	+0.212548428-0.000023387i	+0.007652048+0.000000813i	+0.006080185-0.000006689i	-0.003334328+0.000002112i	-0.004540883-0.000001890i	+0.003743829-0.000000622i	+0.001740750-0.000000499i	+0.002635348+0.000000449i	+0.000974804-0.000001293i	+0.006883793-0.000002022i
-70.00000	-70.00000	-25.00000	0.00000	0.00000	0.00000	+0.299802120+0.000070300i	+0.212399179-0.001148694i	-0.064294399-0.000315820i	-0.176496548-0.000648666i	+0.128926233+0.000031288i	+0.040554681+0.000404731i	+0.067506924-0.000100226i	+0.018756278-0.000201745i	+0.232816706-0.000031476i	+0.008134462+0.000000941i	+0.006333003-0.000006993i	-0.002081547+0.000001281i	-0.004782482-0.000002004i	+0.003827528-0.000000726i	+0.001307103-0.000000270i	+0.001830997+0.000000197i	+0.000559513-0.000000773i	+0.007540707-0.000002534i
-70.00000	-70.00000	0.00000	0.00000	0.00000	0.00000	+0.313350717+0.000078253i	+0.216222217-0.001182578i	+0.024471221+0.000093941i	-0.184143662-0.000675790i	+0.131715487+0.000031978i	+0.008527132+0.000085413i	-0.001771624+0.000005887i	-0.012402994+0.000076080i	+0.246992449-0.000036852i	+0.008501796+0.000001115i	+0.006447068-0.000007114i	+0.000793079-0.000000502i	-0.004989583-0.000002106i	+0.003910700-0.000000830i	+0.000273074+0.000000223i	-0.000047807-0.000000312i	-0.000369978+0.000000280i	+0.008000056-0.000002914i
-70.00000	-70.00000	25.00000	0.00000	0.00000	0.00000	+0.294376111+0.000069790i	+0.201673153-0.001115976i	+0.109085805+0.000485014i	-0.176631128-0.000645980i	+0.130314127+0.000031805i	-0.023461234-0.000232515i	-0.070218899+0.000110490i	-0.041484550+0.000337349i	+0.222361003-0.000026584i	+0.007987381+0.000000988i	+0.006013326-0.000006545i	+0.003533261-0.000002194i	-0.004785960-0.000002039i	+0.003869148-0.000000831i	-0.000759583+0.000000681i	-0.001904057-0.000000865i	-0.001237496+0.000001340i	+0.007201556-0.000002421i
-70.00000	-70.00000	50.00000	0.00000	0.00000	0.00000	+0.249842125+0.000047847i	+0.173394629-0.000968876i	+0.169504497+0.000759611i	-0.156662961-0.000569679i	+0.124927957+0.000031086i	-0.047762343-0.000471960i	-0.122189189+0.000192489i	-0.061888180+0.000524748i	+0.169146093-0.000003672i	+0.006779773+0.000000608i	+0.005170038-0.000005578i	+0.005489813-0.000003426i	-0.004244936-0.000001770i	+0.003708937-0.000000687i	-0.001543894+0.000001094i	-0.003313470-0.000001295i	-0.001846125+0.000002041i	+0.005476501-0.000001272i
-70.00000	0.00000	-46.20000	0.00000	0.00000	0.00000	+0.127371497-0.000018583i	+0.063319347-0.000340247i	-0.040280371-0.000185441i	-0.051748425-0.000178000i	+0.065430049+0.000050836i	+0.016856109+0.000167889i	+0.037862212-0.000062333i	+0.007653384-0.000088233i	+0.086598749+0.000014112i	+0.003458829-0.000000552i	+0.001886539-0.000001878i	-0.001304191+0.000000737i	-0.001403348-0.000000288i	+0.001937702+0.000001088i	+0.000543011+0.000000030i	+0.001027036-0.000000122i	+0.000228340-0.000000382i	+0.002801122+0.000000754i
-70.00000	0.00000	-25.00000	0.00000	0.00000	0.00000	+0.135884687-0.000015343i	+0.065747919-0.000357115i	-0.019626025-0.000095206i	-0.054818352-0.000189118i	+0.067413674+0.000049386i	+0.011819865+0.000118427i	+0.021527010-0.000035308i	+0.002152857-0.000038508i	+0.095366219+0.000009573i	+0.003689686-0.000000462i	+0.001958961-0.000001976i	-0.000635293+0.000000309i	-0.001486464-0.000000358i	+0.001996856+0.000001018i	+0.000380314+0.000000160i	+0.000584033-0.000000223i	+0.000064328-0.000000203i	+0.003085366+0.000000517i
-70.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.139169062-0.000014060i	+0.065822291-0.000361174i	+0.007454204+0.000023984i	-0.056279543-0.000194073i	+0.068337588+0.000048544i	+0.004919725+0.000050883i	-0.000206837+0.000000211i	-0.004782939+0.000025079i	+0.098517039+0.000007844i	+0.003778694-0.000000423i	+0.001961218-0.000001946i	+0.000241718-0.000000267i	-0.001525988-0.000000400i	+0.002024448+0.000000935i	+0.000157417+0.000000255i	-0.000005401-0.000000361i	-0.000142472+0.000000030i	+0.003187487+0.000000392i
