25,-25,-46.2,0,0,0,0.11397-1.9051e-05i,0.035794-0.0001931i,0.040275+0.00014304i,-0.090608-0.00031395i,0.10038-1.561e-05i,0.02192+0.00020761i,-0.046883+8.842e-05i,-0.047136+0.00039877i,0.13241-2.5276e-05i,0.0035162-1.992e-06i,0.0012011-2.009e-06i,0.0014859-2.011e-06i,-0.0027889+3.18e-07i,0.003356-3.324e-06i,0.00080354-6.01e-07i,-0.0014448+1.15e-07i,-0.0015804+1.77e-06i,0.0048753-3.776e-06i
50,-25,-46.2,0,0,0,0.14585-2.4272e-05i,0.0018279-2.3207e-05i,0.030431+0.00010487i,-0.060493-0.00021632i,0.082643-7.121e-06i,0.034927+0.00033354i,-0.042992+7.8672e-05i,-0.043003+0.00036393i,0.11813-2.253e-05i,0.0044995-2.546e-06i,6.207e-05-3.55e-07i,0.0011233-1.663e-06i,-0.0018612-6.7e-08i,0.0027625-2.587e-06i,0.0012809-9e-07i,-0.0013249+1.11e-07i,-0.0014418+1.571e-06i,0.0043492-3.284e-06i
-50,0,-46.2,0,0,0,0.0029171-6.34e-07i,0.10376-0.00053336i,0.033437+0.00012498i,-0.058623-0.00021685i,0.042283+1.0767e-05i,-0.020768-0.000204i,-0.030313+5.3172e-05i,-0.030923+0.00025441i,0.084716-7.278e-06i,9.1427e-05+4.7e-08i,0.0034804-5.217e-06i,0.0012343-1.843e-06i,-0.0018033-1.24e-07i,0.0014114-8.26e-07i,-0.00076267+5.64e-07i,-0.00093377-1.14e-07i,-0.0010363+8.51e-07i,0.0031185-2.131e-06i
-25,0,-46.2,0,0,0,0.024182-4.027e-06i,0.084217-0.00043424i,0.039949+0.00015154i,-0.067072-0.0002418i,0.060363+1.361e-06i,-0.010427-0.00010339i,-0.032389+5.7685e-05i,-0.03294+0.00027303i,0.092021-1.0206e-05i,0.00074724-3.39e-07i,0.0028249-4.291e-06i,0.001474-2.048e-06i,-0.0020636-7e-09i,0.0020165-1.546e-06i,-0.00038329+2.78e-07i,-0.00099778-7.8e-08i,-0.001104+1.004e-06i,0.0033876-2.36e-06i
0,0,-46.2,0,0,0,0.049941-9.278e-06i,0.05792-0.00030068i,0.04224+0.00015988i,-0.068248-0.00024372i,0.069337-2.817e-06i,0.0024514+2.1871e-05i,-0.033143+5.9138e-05i,-0.033574+0.00027969i,0.094423-1.2145e-05i,0.0015416-8.17e-07i,0.001943-3.063e-06i,0.0015582-2.092e-06i,-0.0021+1.5e-08i,0.0023169-1.948e-06i,8.9212e-05-2.1e-08i,-0.0010211-5.7e-08i,-0.0011254+1.067e-06i,0.0034761-2.439e-06i
25,0,-46.2,0,0,0,0.075306-1.4768e-05i,0.031136-0.00016494i,0.039523+0.00014834i,-0.059835-0.00021531i,0.06839-1.818e-06i,0.015068+0.00014461i,-0.03242+5.6951e-05i,-0.032661+0.00027265i,0.091291-1.2194e-05i,0.0023238-1.264e-06i,0.0010449-1.78e-06i,0.001458-1.985e-06i,-0.0018409-8.4e-08i,0.0022854-1.951e-06i,0.00055215-3.68e-07i,-0.00099876-1.02e-07i,-0.0010947+1.026e-06i,0.0033607-2.323e-06i
50,0,-46.2,0,0,0,0.094298-1.8336e-05i,0.0089363-5.3123e-05i,0.032751+0.00012124i,-0.042771-0.00016001i,0.060037+2.936e-06i,0.024711+0.00023878i,-0.030405+5.1577e-05i,-0.030404+0.00025357i,0.08344-1.0116e-05i,0.0029095-1.586e-06i,0.00030041-7.33e-07i,0.0012085-1.732e-06i,-0.0013153-2.97e-07i,0.002006-1.643e-06i,0.00090602-6.07e-07i,-0.00093664-1.3e-07i,-0.0010191+9.35e-07i,0.0030714-2.099e-06i
-50,25,-46.2,0,0,0,0.0064112-3.964e-06i,0.070826-0.00036413i,0.030791+0.00011523i,-0.043327-0.00016788i,0.030573+1.7424e-05i,-0.01461-0.00014295i,-0.022038+3.4665e-05i,-0.022626+0.00018229i,0.060917-7.07e-07i,0.0001992-4.2e-08i,0.0023758-3.655e-06i,0.0011367-1.743e-06i,-0.0013321-3.37e-07i,0.0010195-3.12e-07i,-0.00053678+4.04e-07i,-0.00067856-2.9e-07i,-0.00075789+4.41e-07i,0.0022419-1.29e-06i
-25,25,-46.2,0,0,0,0.020604-6.134e-06i,0.058631-0.00030203i,0.035145+0.00013368i,-0.047473-0.00017927i,0.041596+1.1233e-05i,-0.0071354-6.9962e-05i,-0.023241+3.7265e-05i,-0.023754+0.000193i,0.06508-2.448e-06i,0.00063688-2.95e-07i,0.0019669-3.083e-06i,0.001297-1.866e-06i,-0.0014599-2.68e-07i,0.0013885-8.15e-07i,-0.00026251+2.21e-07i,-0.00071567-2.4e-07i,-0.00079584+5.51e-07i,0.0023952-1.45e-06i
0,25,-46.2,0,0,0,0.036769-9.218e-06i,0.042631-0.00022054i,0.036638+0.00013982i,-0.04719-0.00017679i,0.047676+8.125e-06i,0.0017614+1.6895e-05i,-0.023689+3.7984e-05i,-0.024083+0.00019668i,0.06642-3.441e-06i,0.0011354-5.53e-07i,0.0014303-2.302e-06i,0.0013518-1.888e-06i,-0.0014513-2.58e-07i,0.0015921-1.044e-06i,6.3895e-05-1.5e-08i,-0.00072947-2.57e-07i,-0.00080693+5.8e-07i,0.0024445-1.49e-06i
25,25,-46.2,0,0,0,0.052313-1.2361e-05i,0.025882-0.00013558i,0.034859+0.00013254i,-0.041571-0.00015758i,0.048244+8.003e-06i,0.010511+0.00010244i,-0.02331+3.6721e-05i,-0.023545+0.00019271i,0.064653-3.434e-06i,0.0016147-8.26e-07i,0.00086859-1.519e-06i,0.0012861-1.853e-06i,-0.0012782-3.15e-07i,0.0016112-1.079e-06i,0.00038497-2.15e-07i,-0.00071778-2.47e-07i,-0.00078892+5.77e-07i,0.0023794-1.442e-06i
50,25,-46.2,0,0,0,0.0643-1.5211e-05i,0.011087-6.0972e-05i,0.030306+0.00011379i,-0.031204-0.00012342i,0.044271+9.981e-06i,0.017581+0.00017166i,-0.022184+3.3686e-05i,-0.02223+0.00018187i,0.060146-2.713e-06i,0.0019844-1.013e-06i,0.00037247-7.85e-07i,0.0011184-1.657e-06i,-0.00095893-4.25e-07i,0.0014784-9.6e-07i,0.00064439-4.27e-07i,-0.00068305-2.99e-07i,-0.00074478+5.24e-07i,0.0022133-1.268e-06i
-50,50,-46.2,0,0,0,0.0074459-6.16e-06i,0.050384-0.00025856i,0.026835+9.9195e-05i,-0.032594-0.00013349i,0.022768+2.2044e-05i,-0.010418-0.00010094i,-0.016494+2.225e-05i,-0.016994+0.0001331i,0.044765+3.857e-06i,0.00023113-4.6e-08i,0.0016903-2.668e-06i,0.00099098-1.614e-06i,-0.0010015-4.76e-07i,0.00075829+5.7e-08i,-0.00038299+3.13e-07i,-0.00050757-3.96e-07i,-0.00056892+1.66e-07i,0.0016469-7.64e-07i
-25,50,-46.2,0,0,0,0.017151-7.506e-06i,0.042397-0.00021784i,0.029762+0.00011197i,-0.034634-0.00013846i,0.029856+1.7812e-05i,-0.0049746-4.7656e-05i,-0.01723+2.3765e-05i,-0.017665+0.00013971i,0.047238+2.73e-06i,0.00053042-1.58e-07i,0.0014224-2.296e-06i,0.0010986-1.701e-06i,-0.0010644-4.17e-07i,0.00099559-2.94e-07i,-0.00018324+2.02e-07i,-0.00053027-3.51e-07i,-0.00059149+2.52e-07i,0.0017379-8.4e-07i
0,50,-46.2,0,0,0,0.027736-9.431e-06i,0.03214-0.00016579i,0.030748+0.00011634i,-0.033902-0.00013463i,0.034081+1.5215e-05i,0.0012941+1.3702e-05i,-0.017509+2.4161e-05i,-0.017849+0.00014208i,0.048018+1.955e-06i,0.00085682-3.58e-07i,0.0010785-1.79e-06i,0.0011348-1.695e-06i,-0.0010419-3.98e-07i,0.0011371-5.03e-07i,4.6771e-05+6.3e-08i,-0.00053888-3.42e-07i,-0.00059772+2.59e-07i,0.0017667-8.84e-07i
25,50,-46.2,0,0,0,0.037763-1.1361e-05i,0.021214-0.00011029i,0.029571+0.00011174i,-0.030031-0.00012112i,0.035071+1.4581e-05i,0.0074766+7.4335e-05i,-0.017297+2.3318e-05i,-0.017515+0.00013977i,0.046973+2.017e-06i,0.001166-5.61e-07i,0.00071204-1.265e-06i,0.0010914-1.645e-06i,-0.00092273-4.15e-07i,0.0011703-5.34e-07i,0.00027363-1.32e-07i,-0.00053233-3.58e-07i,-0.00058655+2.65e-07i,0.0017282-8.52e-07i
50,50,-46.2,0,0,0,0.045683-1.2932e-05i,0.011126-5.9249e-05i,0.026502+9.9286e-05i,-0.023387-9.8988e-05i,0.033213+1.5436e-05i,0.012676+0.00012545i,-0.016629+2.1439e-05i,-0.016708+0.00013324i,0.04428+2.614e-06i,0.0014102-6.72e-07i,0.00037374-7.97e-07i,0.00097827-1.528e-06i,-0.00071815-5.13e-07i,0.0011082-4.96e-07i,0.00046439-2.53e-07i,-0.00051172-3.87e-07i,-0.00055952+2.73e-07i,0.0016289-7.47e-07i
-50,-50,-25,0,0,0,-0.049511+1.7658e-05i,0.22783-0.001149i,0.080186+0.00032935i,-0.1008-0.00035531i,0.095151-1.9541e-05i,-0.069877-0.00068901i,-0.068729+0.00013501i,-0.11863+0.00098763i,0.201-1.3133e-05i,-0.0015255+9.79e-07i,0.0076408-1.1143e-05i,0.0029558-3.285e-06i,-0.0031026+4.3e-07i,0.0031806-3.034e-06i,-0.0025648+1.793e-06i,-0.0021186+6.09e-07i,-0.0039788+5.246e-06i,0.007402-6.119e-06i
