0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.114864009+0.000002540i	+0.014474675-0.000094328i	+0.013815619+0.000046037i	+0.025066903+0.000065296i	-0.071251094-0.000001567i	-0.002877796-0.000054674i	+0.019876717-0.000035268i	+0.005400865-0.000054485i	-0.081509185-0.000001234i	+0.003102812-0.000000175i	+0.000421863-0.000000195i	+0.000434116-0.000000560i	+0.000678093+0.000000054i	-0.002081385+0.000000318i	-0.000091289-0.000000306i	+0.000536545+0.000000528i	+0.000157789-0.000000026i	-0.002558605+0.000000317i
-50.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.097042932-0.000006439i	+0.041674457-0.000249303i	+0.013653670+0.000046732i	+0.049896777+0.000158899i	-0.049067551-0.000051304i	+0.000166169-0.000024737i	+0.017019241-0.000027859i	+0.008345969-0.000079261i	-0.074196872-0.000006904i	+0.002622510-0.000000503i	+0.001221429-0.000001426i	+0.000429282-0.000000555i	+0.001347215+0.000000463i	-0.001429440-0.000000763i	+0.000004759-0.000000426i	+0.000459537+0.000000517i	+0.000244769-0.000000136i	-0.002328344+0.000000004i
-49.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.097523722-0.000006196i	+0.041265880-0.000247049i	+0.013675806+0.000046839i	+0.049565919+0.000157612i	-0.049591730-0.000050282i	+0.000112461-0.000025304i	+0.017095666-0.000028079i	+0.008307398-0.000078948i	-0.074395630-0.000006682i	+0.002635462-0.000000516i	+0.001209445-0.000001398i	+0.000429969-0.000000552i	+0.001338300+0.000000472i	-0.001444819-0.000000700i	+0.000003036-0.000000411i	+0.000461582+0.000000531i	+0.000243613-0.000000098i	-0.002334590+0.000000027i
-48.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.098004497-0.000005916i	+0.040850460-0.000244778i	+0.013697748+0.000046864i	+0.049227590+0.000156348i	-0.050117280-0.000049198i	+0.000057982-0.000025871i	+0.017172189-0.000028236i	+0.008268086-0.000078643i	-0.074594818-0.000006619i	+0.002648441-0.000000498i	+0.001197220-0.000001382i	+0.000430656-0.000000529i	+0.001329204+0.000000478i	-0.001460254-0.000000713i	+0.000001306-0.000000430i	+0.000463643+0.000000495i	+0.000242463-0.000000124i	-0.002340854+0.000000032i
-47.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.098481663-0.000005662i	+0.040429808-0.000242457i	+0.013719394+0.000046938i	+0.048883173+0.000155043i	-0.050641006-0.000048170i	+0.000003413-0.000026448i	+0.017248201-0.000028372i	+0.008227976-0.000078364i	-0.074792748-0.000006461i	+0.002661290-0.000000477i	+0.001184879-0.000001347i	+0.000431323-0.000000539i	+0.001319896+0.000000454i	-0.001475637-0.000000687i	-0.000000393-0.000000417i	+0.000465676+0.000000517i	+0.000241275-0.000000132i	-0.002347077+0.000000032i
-46.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.098953684-0.000005436i	+0.040003139-0.000240066i	+0.013739990+0.000046989i	+0.048531725+0.000153676i	-0.051162216-0.000047103i	-0.000051684-0.000026978i	+0.017323299-0.000028568i	+0.008186932-0.000078043i	-0.074987955-0.000006300i	+0.002674026-0.000000447i	+0.001172309-0.000001337i	+0.000431969-0.000000534i	+0.001310437+0.000000481i	-0.001490973-0.000000626i	-0.000002122-0.000000417i	+0.000467711+0.000000512i	+0.000240072-0.000000108i	-0.002353242+0.000000054i
-45.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.099423109-0.000005193i	+0.039569229-0.000237644i	+0.013759339+0.000047043i	+0.048172308+0.000152318i	-0.051682966-0.000045997i	-0.000107455-0.000027523i	+0.017397720-0.000028776i	+0.008144785-0.000077745i	-0.075182031-0.000006112i	+0.002686680-0.000000461i	+0.001159554-0.000001327i	+0.000432567-0.000000515i	+0.001300727+0.000000457i	-0.001506291-0.000000625i	-0.000003857-0.000000411i	+0.000469742+0.000000520i	+0.000238831-0.000000125i	-0.002359339+0.000000037i
-44.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.099885843-0.000004932i	+0.039129574-0.000235259i	+0.013778095+0.000047055i	+0.047806122+0.000150892i	-0.052199784-0.000044960i	-0.000163355-0.000028098i	+0.017471351-0.000028943i	+0.008101807-0.000077435i	-0.075372678-0.000006063i	+0.002699172-0.000000473i	+0.001146652-0.000001302i	+0.000433139-0.000000544i	+0.001290894+0.000000441i	-0.001521449-0.000000611i	-0.000005643-0.000000422i	+0.000471690+0.000000522i	+0.000237525-0.000000117i	-0.002365353+0.000000083i
-43.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.100345611-0.000004727i	+0.038683969-0.000232741i	+0.013796152+0.000047176i	+0.047432759+0.000149485i	-0.052715529-0.000043876i	-0.000219751-0.000028703i	+0.017544437-0.000029100i	+0.008058068-0.000077082i	-0.075562110-0.000005943i	+0.002711540-0.000000442i	+0.001133537-0.000001302i	+0.000433755-0.000000551i	+0.001280813+0.000000444i	-0.001536604-0.000000605i	-0.000007446-0.000000412i	+0.000473665+0.000000511i	+0.000236236-0.000000136i	-0.002371294+0.000000048i
-42.00000	0.00000	0.00000	0.00000	0.00000	0.00000	+0.100803071-0.000004515i	+0.038231950-0.000230216i	+0.013813679+0.000047223i	+0.047052344+0.000148027i	-0.053230556-0.000042789i	-0.000276788-0.000029250i	+0.017617203-0.000029287i	+0.008013513-0.000076738i	-0.075750874-0.000005775i	+0.002723877-0.000000456i	+0.001120234-0.000001271i	+0.000434259-0.000000540i	+0.001270572+0.000000439i	-0.001551760-0.000000567i	-0.000009241-0.000000421i	+0.000475642+0.000000503i	+0.000234946-0.000000107i	-0.002377276+0.000000085i
